%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1663722021904978570,0.0,0.0,0.0,0.0,0.0,0.0
1663722021925235753,0.0,0.0,0.0,0.0,0.0,0.0
1663722021945392319,0.0,0.0,0.0,0.0,0.0,0.0
1663722021965581454,0.0,0.0,0.0,0.0,0.0,0.0
1663722021985819154,0.0,0.0,0.0,0.0,0.0,0.0
1663722022005914865,0.0,0.0,0.0,0.0,0.0,0.0
1663722022026111257,0.0,0.0,0.0,0.0,0.0,0.0
1663722022046342045,0.0,0.0,0.0,0.0,0.0,0.0
1663722022067225137,0.0,0.0,0.0,0.0,0.0,0.0
1663722022086855013,0.0,0.0,0.0,0.0,0.0,0.0
1663722022107097662,0.0,0.0,0.0,0.0,0.0,0.0
1663722022127185784,0.0,0.0,0.0,0.0,0.0,0.0
1663722022147410067,0.0,0.0,0.0,0.0,0.0,0.0
1663722022167595892,0.0,0.0,0.0,0.0,0.0,0.0
1663722022187796054,0.0,0.0,0.0,0.0,0.0,0.0
1663722022208092100,0.0,0.0,0.0,0.0,0.0,0.0
1663722022228201013,0.0,0.0,0.0,0.0,0.0,0.0
1663722022248372543,0.0,0.0,0.0,0.0,0.0,0.0
1663722022268690505,0.0,0.0,0.0,0.0,0.0,0.0
1663722022288859206,0.0,0.0,0.0,0.0,0.0,0.0
1663722022309132217,0.0,0.0,0.0,0.0,0.0,0.0
1663722022329438386,0.0,0.0,0.0,0.0,0.0,0.0
1663722022349636759,0.0,0.0,0.0,0.0,0.0,0.0
1663722022369963189,0.0,0.0,0.0,0.0,0.0,0.0
1663722022390101642,0.0,0.0,0.0,0.0,0.0,0.0
1663722022411049581,0.0,0.0,0.0,0.0,0.0,0.0
1663722022430536761,0.0,0.0,0.0,0.0,0.0,0.0
1663722022450728527,0.0,0.0,0.0,0.0,0.0,0.0
1663722022470944926,0.0,0.0,0.0,0.0,0.0,0.0
1663722022491103932,0.0,0.0,0.0,0.0,0.0,0.0
1663722022511192293,0.0,0.0,0.0,0.0,0.0,0.0
1663722022531465591,0.0,0.0,0.0,0.0,0.0,0.0
1663722022551761988,0.0,0.0,0.0,0.0,0.0,0.0
1663722022572070611,0.0,0.0,0.0,0.0,0.0,0.0
1663722022592234152,0.0,0.0,0.0,0.0,0.0,0.0
1663722022612551719,0.0,0.0,0.0,0.0,0.0,0.0
1663722022633512448,0.0,0.0,0.0,0.0,0.0,0.0
1663722022652848593,0.0,0.0,0.0,0.0,0.0,0.0
1663722022673334766,0.0,0.0,0.0,0.0,0.0,0.0
1663722022693599344,0.0,0.0,0.0,0.0,0.0,0.0
1663722022713776268,0.0,0.0,0.0,0.0,0.0,0.0
1663722022733908902,0.0,0.0,0.0,0.0,0.0,0.0
1663722022754172944,0.0,0.0,0.0,0.0,0.0,0.0
1663722022774308466,0.0,0.0,0.0,0.0,0.0,0.0
1663722022794505389,0.0,0.0,0.0,0.0,0.0,0.0
1663722022814644681,0.0,0.0,0.0,0.0,0.0,0.0
1663722022834886875,0.0,0.0,0.0,0.0,0.0,0.0
1663722022855023732,0.0,0.0,0.0,0.0,0.0,0.0
1663722022875246540,0.0,0.0,0.0,0.0,0.0,0.0
1663722022895411064,0.0,0.0,0.0,0.0,0.0,0.0
1663722022915778309,0.0,0.0,0.0,0.0,0.0,0.0
1663722022935980797,0.0,0.0,0.0,0.0,0.0,0.0
1663722022956133153,0.0,0.0,0.0,0.0,0.0,0.0
1663722022976596131,0.0,0.0,0.0,0.0,0.0,0.0
1663722022996810579,0.0,0.0,0.0,0.0,0.0,0.0
1663722023016959944,0.0,0.0,0.0,0.0,0.0,0.0
1663722023037098184,0.0,0.0,0.0,0.0,0.0,0.0
1663722023057385725,0.0,0.0,0.0,0.0,0.0,0.0
1663722023077565834,0.0,0.0,0.0,0.0,0.0,0.0
1663722023097721489,0.0,0.0,0.0,0.0,0.0,0.0
1663722023117864890,0.0,0.0,0.0,0.0,0.0,0.0
1663722023138060266,0.0,0.0,0.0,0.0,0.0,0.0
1663722023158234778,0.0,0.0,0.0,0.0,0.0,0.0
1663722023178541808,0.0,0.0,0.0,0.0,0.0,0.0
1663722023198676257,0.0,0.0,0.0,0.0,0.0,0.0
1663722023218886981,0.0,0.0,0.0,0.0,0.0,0.0
1663722023239237368,0.0,0.0,0.0,0.0,0.0,0.0
1663722023259343036,0.0,0.0,0.0,0.0,0.0,0.0
1663722023279543423,0.0,0.0,0.0,0.0,0.0,0.0
1663722023299725910,0.0,0.0,0.0,0.0,0.0,0.0
1663722023319861458,0.0,0.0,0.0,0.0,0.0,0.0
1663722023340064536,0.0,0.0,0.0,0.0,0.0,0.0
1663722023360306560,0.0,0.0,0.0,0.0,0.0,0.0
1663722023380651456,0.0,0.0,0.0,0.0,0.0,0.0
1663722023400897037,0.0,0.0,0.0,0.0,0.0,0.0
1663722023421250355,0.0,0.0,0.0,0.0,0.0,0.0
1663722023441463196,0.0,0.0,0.0,0.0,0.0,0.0
1663722023463084596,0.0,0.0,0.0,0.0,0.0,0.0
1663722023481885754,0.0,0.0,0.0,0.0,0.0,0.0
1663722023502558546,0.0,0.0,0.0,0.0,0.0,0.0
1663722023522649991,0.0,0.0,0.0,0.0,0.0,0.0
1663722023542897046,0.0,0.0,0.0,0.0,0.0,0.0
1663722023563128994,0.0,0.0,0.0,0.0,0.0,0.0
1663722023583369838,0.0,0.0,0.0,0.0,0.0,0.0
1663722023603759649,0.0,0.0,0.0,0.0,0.0,0.0
1663722023623946117,0.0,0.0,0.0,0.0,0.0,0.0
1663722023644133090,0.0,0.0,0.0,0.0,0.0,0.0
1663722023664330750,0.0,0.0,0.0,0.0,0.0,0.0
1663722023684637408,0.0,0.0,0.0,0.0,0.0,0.0
1663722023705828475,0.0,0.0,0.0,0.0,0.0,0.0
1663722023726125041,0.0,0.0,0.0,0.0,0.0,0.0
1663722023749863947,0.0,0.0,0.0,0.0,0.0,0.0
1663722023766632670,0.0,0.0,0.0,0.0,0.0,0.0
1663722023787326077,0.0,0.0,0.0,0.0,0.0,0.0
1663722023807412913,0.0,0.0,0.0,0.0,0.0,0.0
1663722023827676912,0.0,0.0,0.0,0.0,0.0,0.0
1663722023847949545,0.0,0.0,0.0,0.0,0.0,0.0
1663722023868162064,0.0,0.0,0.0,0.0,0.0,0.0
1663722023888358567,0.0,0.0,0.0,0.0,0.0,0.0
1663722023908534202,0.0,0.0,0.0,0.0,0.0,0.0
1663722023928736730,0.0,0.0,0.0,0.0,0.0,0.0
1663722023948841760,0.0,0.0,0.0,0.0,0.0,0.0
1663722023969080296,0.0,0.0,0.0,0.0,0.0,0.0
1663722023989219034,0.0,0.0,0.0,0.0,0.0,0.0
1663722024011064653,0.0,0.0,0.0,0.0,0.0,0.0
1663722024031250622,0.0,0.0,0.0,0.0,0.0,0.0
