%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.pose.position.x,field.pose.pose.position.y,field.pose.pose.position.z,field.pose.pose.orientation.x,field.pose.pose.orientation.y,field.pose.pose.orientation.z,field.pose.pose.orientation.w,field.pose.covariance0,field.pose.covariance1,field.pose.covariance2,field.pose.covariance3,field.pose.covariance4,field.pose.covariance5,field.pose.covariance6,field.pose.covariance7,field.pose.covariance8,field.pose.covariance9,field.pose.covariance10,field.pose.covariance11,field.pose.covariance12,field.pose.covariance13,field.pose.covariance14,field.pose.covariance15,field.pose.covariance16,field.pose.covariance17,field.pose.covariance18,field.pose.covariance19,field.pose.covariance20,field.pose.covariance21,field.pose.covariance22,field.pose.covariance23,field.pose.covariance24,field.pose.covariance25,field.pose.covariance26,field.pose.covariance27,field.pose.covariance28,field.pose.covariance29,field.pose.covariance30,field.pose.covariance31,field.pose.covariance32,field.pose.covariance33,field.pose.covariance34,field.pose.covariance35
1663722021937128465,3663,1663722021885365695,odom,-1.14966913264,0.0,0.0,0.0,0.0,0.0,1.0,1.00008910522e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.00008910522e-05,0.0,0.0,0.0,0.0,0.0,0.0,3664000000.0,0.0,0.0,0.0,0.0,0.0,0.0,3664000000.0,0.0,0.0,0.0,0.0,0.0,0.0,3664000000.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0008002039
1663722022037136785,3664,1663722022005362797,odom,-1.14966913264,0.0,0.0,0.0,0.0,0.0,1.0,1.43992947415e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.43992947415e-05,0.0,0.0,0.0,0.0,0.0,0.0,3665000000.0,0.0,0.0,0.0,0.0,0.0,0.0,3665000000.0,0.0,0.0,0.0,0.0,0.0,0.0,3665000000.0,0.0,0.0,0.0,0.0,0.0,0.0,14.3990971537
1663722022137091544,3665,1663722022085381476,odom,-1.14966913264,0.0,0.0,0.0,0.0,0.0,1.0,6.4029591158e-06,0.0,0.0,0.0,0.0,0.0,0.0,6.4029591158e-06,0.0,0.0,0.0,0.0,0.0,0.0,3666000000.0,0.0,0.0,0.0,0.0,0.0,0.0,3666000000.0,0.0,0.0,0.0,0.0,0.0,0.0,3666000000.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4029479915
1663722022237104889,3666,1663722022225388666,odom,-1.14966913264,0.0,0.0,0.0,0.0,0.0,1.0,1.96021283045e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.96021283045e-05,0.0,0.0,0.0,0.0,0.0,0.0,3667000000.0,0.0,0.0,0.0,0.0,0.0,0.0,3667000000.0,0.0,0.0,0.0,0.0,0.0,0.0,3667000000.0,0.0,0.0,0.0,0.0,0.0,0.0,19.6016290229
1663722022337134360,3667,1663722022305390829,odom,-1.14966913264,0.0,0.0,0.0,0.0,0.0,1.0,6.4002815634e-06,0.0,0.0,0.0,0.0,0.0,0.0,6.4002815634e-06,0.0,0.0,0.0,0.0,0.0,0.0,3668000000.0,0.0,0.0,0.0,0.0,0.0,0.0,3668000000.0,0.0,0.0,0.0,0.0,0.0,0.0,3668000000.0,0.0,0.0,0.0,0.0,0.0,0.0,6.40030512144
1663722022437297494,3668,1663722022385360658,odom,-1.14966913264,0.0,0.0,0.0,0.0,0.0,1.0,6.39527570456e-06,0.0,0.0,0.0,0.0,0.0,0.0,6.39527570456e-06,0.0,0.0,0.0,0.0,0.0,0.0,3669000000.0,0.0,0.0,0.0,0.0,0.0,0.0,3669000000.0,0.0,0.0,0.0,0.0,0.0,0.0,3669000000.0,0.0,0.0,0.0,0.0,0.0,0.0,6.39513265248
1663722022537153788,3669,1663722022525366392,odom,-1.14966913264,0.0,0.0,0.0,0.0,0.0,1.0,1.96016626433e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.96016626433e-05,0.0,0.0,0.0,0.0,0.0,0.0,3670000000.0,0.0,0.0,0.0,0.0,0.0,0.0,3670000000.0,0.0,0.0,0.0,0.0,0.0,0.0,3670000000.0,0.0,0.0,0.0,0.0,0.0,0.0,19.6012213399
1663722022637106148,3670,1663722022605396301,odom,-1.14966913264,0.0,0.0,0.0,0.0,0.0,1.0,6.40482176095e-06,0.0,0.0,0.0,0.0,0.0,0.0,6.40482176095e-06,0.0,0.0,0.0,0.0,0.0,0.0,3671000000.0,0.0,0.0,0.0,0.0,0.0,0.0,3671000000.0,0.0,0.0,0.0,0.0,0.0,0.0,3671000000.0,0.0,0.0,0.0,0.0,0.0,0.0,6.40474531439
1663722022737047061,3671,1663722022685361573,odom,-1.14966913264,0.0,0.0,0.0,0.0,0.0,1.0,6.39457721263e-06,0.0,0.0,0.0,0.0,0.0,0.0,6.39457721263e-06,0.0,0.0,0.0,0.0,0.0,0.0,3672000000.0,0.0,0.0,0.0,0.0,0.0,0.0,3672000000.0,0.0,0.0,0.0,0.0,0.0,0.0,3672000000.0,0.0,0.0,0.0,0.0,0.0,0.0,6.39440383762
1663722022838243670,3672,1663722022825388239,odom,-1.14966913264,0.0,0.0,0.0,0.0,0.0,1.0,1.96074834093e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.96074834093e-05,0.0,0.0,0.0,0.0,0.0,0.0,3673000000.0,0.0,0.0,0.0,0.0,0.0,0.0,3673000000.0,0.0,0.0,0.0,0.0,0.0,0.0,3673000000.0,0.0,0.0,0.0,0.0,0.0,0.0,19.6070827483
1663722022937139201,3673,1663722022905386563,odom,-1.14966913264,0.0,0.0,0.0,0.0,0.0,1.0,6.39969948679e-06,0.0,0.0,0.0,0.0,0.0,0.0,6.39969948679e-06,0.0,0.0,0.0,0.0,0.0,0.0,3674000000.0,0.0,0.0,0.0,0.0,0.0,0.0,3674000000.0,0.0,0.0,0.0,0.0,0.0,0.0,3674000000.0,0.0,0.0,0.0,0.0,0.0,0.0,6.39969088731
1663722023037077495,3674,1663722022985386268,odom,-1.14966913264,0.0,0.0,0.0,0.0,0.0,1.0,6.39993231744e-06,0.0,0.0,0.0,0.0,0.0,0.0,6.39993231744e-06,0.0,0.0,0.0,0.0,0.0,0.0,3675000000.0,0.0,0.0,0.0,0.0,0.0,0.0,3675000000.0,0.0,0.0,0.0,0.0,0.0,0.0,3675000000.0,0.0,0.0,0.0,0.0,0.0,0.0,6.39991184114
1663722023137115493,3675,1663722023125358852,odom,-1.14966913264,0.0,0.0,0.0,0.0,0.0,1.0,1.95923494175e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.95923494175e-05,0.0,0.0,0.0,0.0,0.0,0.0,3676000000.0,0.0,0.0,0.0,0.0,0.0,0.0,3676000000.0,0.0,0.0,0.0,0.0,0.0,0.0,3676000000.0,0.0,0.0,0.0,0.0,0.0,0.0,19.5919404224
1663722023237167070,3676,1663722023205390929,odom,-1.14966913264,0.0,0.0,0.0,0.0,0.0,1.0,6.40517100692e-06,0.0,0.0,0.0,0.0,0.0,0.0,6.40517100692e-06,0.0,0.0,0.0,0.0,0.0,0.0,3677000000.0,0.0,0.0,0.0,0.0,0.0,0.0,3677000000.0,0.0,0.0,0.0,0.0,0.0,0.0,3677000000.0,0.0,0.0,0.0,0.0,0.0,0.0,6.40509232425
1663722023337162507,3677,1663722023285370830,odom,-1.14966913264,0.0,0.0,0.0,0.0,0.0,1.0,6.39678910375e-06,0.0,0.0,0.0,0.0,0.0,0.0,6.39678910375e-06,0.0,0.0,0.0,0.0,0.0,0.0,3678000000.0,0.0,0.0,0.0,0.0,0.0,0.0,3678000000.0,0.0,0.0,0.0,0.0,0.0,0.0,3678000000.0,0.0,0.0,0.0,0.0,0.0,0.0,6.39674364566
